"FrontendFile","Method","RawPath","Status"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M203\M203Page.jsx","GET","/api/m203?${params}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M272\M272Page.jsx","DELETE","/api/m272/${id}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\marketplaceService.js","PUT","/marketplace/listings/${listingId}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M212\M212Page.jsx","DELETE","/api/m212/${id}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M326\M326.jsx","DELETE","/api/v1/backend-modules/M326/${id}","DYNAMIC_NORMALIZED_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M56\M56.jsx","DELETE","/api/v1/backend-modules/M056/${id}","DYNAMIC_NORMALIZED_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M302\M302.jsx","DELETE","/api/v1/backend-modules/M302/${id}","DYNAMIC_NORMALIZED_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/learning-models/${id}/train","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M83\M83.jsx","DELETE","/api/v1/backend-modules/M083/${id}","DYNAMIC_NORMALIZED_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M43\M43.jsx","DELETE","/api/v1/backend-modules/M043/${id}","DYNAMIC_NORMALIZED_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M280\M280Page.jsx","GET","/api/m280?${params}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M111\M111.jsx","DELETE","/api/v1/backend-modules/M111/${id}","DYNAMIC_NORMALIZED_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M342\M342.jsx","DELETE","/api/v1/backend-modules/M342/${id}","DYNAMIC_NORMALIZED_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M249\M249.jsx","DELETE","/api/v1/backend-modules/M249/${id}","DYNAMIC_NORMALIZED_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M199\M199Page.jsx","GET","/api/m199?${params}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","PUT","/seed-planning/plan/${id}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M167\M167Page.jsx","GET","/api/m167?${params}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/erp/sync/conflicts/${id}/resolve","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","DELETE","/farm-activity/activity/${id}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\operationsApi.js","GET","/insurance/claims/${id}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M125\M125.jsx","DELETE","/api/v1/backend-modules/M125/${id}","DYNAMIC_NORMALIZED_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M264\M264Page.jsx","DELETE","/api/m264/${id}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","PUT","/sheep/${id}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M197\M197.jsx","DELETE","/api/v1/backend-modules/M197/${id}","DYNAMIC_NORMALIZED_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M123\M123Page.jsx","GET","/api/m123/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","PUT","/fleet-management/vehicle/${id}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","PUT","/bioflocc-farm/tank/${id}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M180\M180Page.jsx","GET","/api/m180/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M280\M280Page.jsx","DELETE","/api/m280/${id}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M292\M292Page.jsx","GET","/api/m292/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_UNRESOLVED"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M131\M131.jsx","DELETE","/api/v1/backend-modules/M131/${id}","DYNAMIC_NORMALIZED_MATCH"
