"RelativePath","Name","Extension","Size","Modified"
"01_MODULE_CARDS\MOD-M150.json","MOD-M150.json",".json","710","2026-08-19T11:02:19.6001719+05:30"
"02_MODULES\MODULE_ARTIFACT_MATRIX.csv","MODULE_ARTIFACT_MATRIX.csv",".csv","3","2026-08-20T10:39:28.4366795+05:30"
"02_PROCESSING_FLOOR\09_REVIEW\VARIANT_COLLISION_REVIEW_QUEUE.csv","VARIANT_COLLISION_REVIEW_QUEUE.csv",".csv","15285","2026-08-19T14:01:53.2701359+05:30"
"03_CATALOGUE\IMPLEMENTATION_CATALOGUE.csv","IMPLEMENTATION_CATALOGUE.csv",".csv","61433676","2026-08-19T18:09:44.2102327+05:30"
"03_CATALOGUE\LOGICAL_ENTITY_CATALOGUE.csv","LOGICAL_ENTITY_CATALOGUE.csv",".csv","93088357","2026-08-19T18:09:17.5273868+05:30"
"03_CATALOGUE\MODULE_CATALOGUE.csv","MODULE_CATALOGUE.csv",".csv","79283","2026-08-19T18:12:05.8831122+05:30"
"03_CATALOGUE\ROUTE_CATALOGUE.csv","ROUTE_CATALOGUE.csv",".csv","908403","2026-08-19T18:12:28.5496947+05:30"
"03_CATALOGUE\SERVICE_CATALOGUE.csv","SERVICE_CATALOGUE.csv",".csv","1421194","2026-08-19T18:12:18.7529076+05:30"
"03_CATALOGUE\MASTER_REGISTRY\00_ID_NAMESPACES.csv","00_ID_NAMESPACES.csv",".csv","1130","2026-08-19T13:46:29.5822424+05:30"
"03_CATALOGUE\MASTER_REGISTRY\01_ID_COUNTERS.csv","01_ID_COUNTERS.csv",".csv","717","2026-08-19T13:46:29.7265489+05:30"
"03_CATALOGUE\MASTER_REGISTRY\02_MASTER_ENTITY_REGISTER.csv","02_MASTER_ENTITY_REGISTER.csv",".csv","220","2026-08-19T13:46:29.9163830+05:30"
"03_CATALOGUE\MASTER_REGISTRY\03_ACCESSION_REGISTER.csv","03_ACCESSION_REGISTER.csv",".csv","2812","2026-08-19T13:49:27.8508836+05:30"
"03_CATALOGUE\MASTER_REGISTRY\04_HOLDINGS_REGISTER.csv","04_HOLDINGS_REGISTER.csv",".csv","169","2026-08-19T13:46:30.2153040+05:30"
"03_CATALOGUE\MASTER_REGISTRY\05_PHYSICAL_ITEM_REGISTER.csv","05_PHYSICAL_ITEM_REGISTER.csv",".csv","167","2026-08-19T13:46:30.3539846+05:30"
"03_CATALOGUE\MASTER_REGISTRY\06_LOCATION_REGISTER.csv","06_LOCATION_REGISTER.csv",".csv","104","2026-08-19T13:46:30.5023545+05:30"
"03_CATALOGUE\MASTER_REGISTRY\07_RELATIONSHIP_REGISTER.csv","07_RELATIONSHIP_REGISTER.csv",".csv","157","2026-08-19T13:46:30.6285452+05:30"
"03_CATALOGUE\MASTER_REGISTRY\08_ALIAS_AUTHORITY_REGISTER.csv","08_ALIAS_AUTHORITY_REGISTER.csv",".csv","101","2026-08-19T13:46:30.7798223+05:30"
"03_CATALOGUE\MASTER_REGISTRY\09_GAP_REGISTER.csv","09_GAP_REGISTER.csv",".csv","146","2026-08-19T13:46:30.8942330+05:30"
"03_CATALOGUE\MASTER_REGISTRY\10_ISSUE_REGISTER.csv","10_ISSUE_REGISTER.csv",".csv","104","2026-08-19T13:46:31.0341839+05:30"
"04_AUTHORITY\01_FORENSIC_SOURCE_AUTHORITY_MATRIX.csv","01_FORENSIC_SOURCE_AUTHORITY_MATRIX.csv",".csv","1831","2026-08-19T13:50:21.3052660+05:30"
"04_AUTHORITY\02_EVIDENCE_PRIORITY_MATRIX.csv","02_EVIDENCE_PRIORITY_MATRIX.csv",".csv","868","2026-08-19T13:50:21.4507826+05:30"
"04_AUTHORITY\03_INCOMPLETE_EVIDENCE_REGISTER.csv","03_INCOMPLETE_EVIDENCE_REGISTER.csv",".csv","442","2026-08-19T13:50:21.5555105+05:30"
"04_AUTHORITY\ACTIVE_MODULE_AUTHORITY_EVIDENCE.csv","ACTIVE_MODULE_AUTHORITY_EVIDENCE.csv",".csv","10814","2026-08-19T14:01:52.6992131+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\PHYSICAL_AREA_INDEX.csv","PHYSICAL_AREA_INDEX.csv",".csv","22151","2026-08-20T08:46:41.9306922+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\PHYSICAL_CONTENT_INDEX.csv","PHYSICAL_CONTENT_INDEX.csv",".csv","1771964","2026-08-19T14:12:57.9188280+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\PHYSICAL_FILENAME_INDEX.csv","PHYSICAL_FILENAME_INDEX.csv",".csv","3","2026-08-19T15:15:22.4449951+05:30"
