"Method","Prefix","LocalPath","EffectiveURL","RouterFile","Variable","MountLine","RouteLine"
"POST","/api/v1/backend-modules/M008","/compliance-rules","/api/v1/backend-modules/M008/compliance-rules","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008\routes.js","finalBatchModuleM008Routes","1127","15"
"GET","/api/v1/backend-modules/M008","/compliance-rules","/api/v1/backend-modules/M008/compliance-rules","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008\routes.js","finalBatchModuleM008Routes","1127","16"
"GET","/api/v1/backend-modules/M008","/users/:userId/compliance","/api/v1/backend-modules/M008/users/:userId/compliance","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008\routes.js","finalBatchModuleM008Routes","1127","17"
"GET","/api/v1/backend-modules/M008","/reports/compliance","/api/v1/backend-modules/M008/reports/compliance","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008\routes.js","finalBatchModuleM008Routes","1127","20"
"GET","/api/v1/backend-modules/M008","/anomalies","/api/v1/backend-modules/M008/anomalies","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008\routes.js","finalBatchModuleM008Routes","1127","23"
"POST","/api/v1/backend-modules/M009","/events","/api/v1/backend-modules/M009/events","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","finalBatchModuleM009Routes","1128","7"
"GET","/api/v1/backend-modules/M009","/events","/api/v1/backend-modules/M009/events","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","finalBatchModuleM009Routes","1128","8"
"POST","/api/v1/backend-modules/M009","/ip-list","/api/v1/backend-modules/M009/ip-list","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","finalBatchModuleM009Routes","1128","11"
"DELETE","/api/v1/backend-modules/M009","/ip-list","/api/v1/backend-modules/M009/ip-list","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","finalBatchModuleM009Routes","1128","12"
"GET","/api/v1/backend-modules/M009","/ip-list/:listType","/api/v1/backend-modules/M009/ip-list/:listType","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","finalBatchModuleM009Routes","1128","13"
"POST","/api/v1/backend-modules/M009","/ip-list/check","/api/v1/backend-modules/M009/ip-list/check","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","finalBatchModuleM009Routes","1128","14"
"POST","/api/v1/backend-modules/M009","/rate-limit/check","/api/v1/backend-modules/M009/rate-limit/check","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","finalBatchModuleM009Routes","1128","17"
"GET","/api/v1/backend-modules/M009","/threats/detect","/api/v1/backend-modules/M009/threats/detect","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","finalBatchModuleM009Routes","1128","20"
"GET","/api/v1/backend-modules/M009","/users/:userId/security-score","/api/v1/backend-modules/M009/users/:userId/security-score","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","finalBatchModuleM009Routes","1128","23"
"POST","/api/v1/backend-modules/M009","/policies","/api/v1/backend-modules/M009/policies","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","finalBatchModuleM009Routes","1128","26"
"POST","/api/v1/backend-modules/M009","/policies/evaluate","/api/v1/backend-modules/M009/policies/evaluate","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","finalBatchModuleM009Routes","1128","27"
"POST","/api/v1/backend-modules/M010","/notifications","/api/v1/backend-modules/M010/notifications","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M010\routes.js","finalBatchModuleM010Routes","1129","7"
"GET","/api/v1/backend-modules/M010","/notifications","/api/v1/backend-modules/M010/notifications","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M010\routes.js","finalBatchModuleM010Routes","1129","8"
"GET","/api/v1/backend-modules/M010","/notifications/:id","/api/v1/backend-modules/M010/notifications/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M010\routes.js","finalBatchModuleM010Routes","1129","9"
"PUT","/api/v1/backend-modules/M010","/notifications/:id/read","/api/v1/backend-modules/M010/notifications/:id/read","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M010\routes.js","finalBatchModuleM010Routes","1129","10"
"PUT","/api/v1/backend-modules/M010","/notifications/read-all","/api/v1/backend-modules/M010/notifications/read-all","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M010\routes.js","finalBatchModuleM010Routes","1129","11"
"POST","/api/v1/backend-modules/M010","/notifications/:id/deliver","/api/v1/backend-modules/M010/notifications/:id/deliver","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M010\routes.js","finalBatchModuleM010Routes","1129","14"
"GET","/api/v1/backend-modules/M010","/preferences/:userId","/api/v1/backend-modules/M010/preferences/:userId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M010\routes.js","finalBatchModuleM010Routes","1129","17"
