path,category,bytes,issue_count,highest_severity,issue_codes
backend/src/database/migrations/094_create_digital_twin_tables.sql,backend_database,1282,0,clean,
backend/src/database/migrations/095_create_monitoring_tables.sql,backend_database,849,0,clean,
backend/src/database/migrations/096_create_gdpr_tables.sql,backend_database,1262,0,clean,
backend/src/database/migrations/097_ai_image_generation_enhanced.sql,backend_database,8205,0,clean,
backend/src/database/migrations/10000_village_external_supply_demand.sql,backend_database,6632,0,clean,
backend/src/database/migrations/1000_user_management.sql,backend_database,946,0,clean,
backend/src/database/migrations/1001_labour_management.sql,backend_database,1747,0,clean,
backend/src/database/migrations/1001_platform_configuration.sql,backend_database,1395,0,clean,
backend/src/database/migrations/1002_farmer_verification_requests.sql,backend_database,605,0,clean,
backend/src/database/migrations/1002_system_administration.sql,backend_database,800,0,clean,
backend/src/database/migrations/1003_farmer_kyc_applications.sql,backend_database,649,0,clean,
backend/src/database/migrations/200_m047_irrigation_management.sql,backend_database,3717,0,clean,
backend/src/database/migrations/3000_M001_generated.sql,backend_database,311,0,clean,
backend/src/database/migrations/3000_M002_generated.sql,backend_database,311,0,clean,
backend/src/database/migrations/3000_M003_generated.sql,backend_database,311,0,clean,
backend/src/database/migrations/3000_M004_generated.sql,backend_database,311,0,clean,
backend/src/database/migrations/3000_M005_generated.sql,backend_database,311,0,clean,
backend/src/database/migrations/3000_M006_generated.sql,backend_database,311,0,clean,
backend/src/database/migrations/3000_M007_generated.sql,backend_database,311,0,clean,
backend/src/database/migrations/3000_M008_generated.sql,backend_database,311,0,clean,
backend/src/database/migrations/3000_M009_generated.sql,backend_database,311,0,clean,
backend/src/database/migrations/3000_M010_generated.sql,backend_database,311,0,clean,
backend/src/database/migrations/3000_M011_generated.sql,backend_database,286,0,clean,
backend/src/database/migrations/3000_M012_generated.sql,backend_database,296,0,clean,
backend/src/database/migrations/3000_M013_generated.sql,backend_database,296,0,clean,
backend/src/database/migrations/3000_M014_generated.sql,backend_database,300,0,clean,
backend/src/database/migrations/3000_M015_generated.sql,backend_database,296,0,clean,
backend/src/database/migrations/3000_M016_generated.sql,backend_database,300,0,clean,
backend/src/database/migrations/3000_M017_generated.sql,backend_database,296,0,clean,
backend/src/database/migrations/3000_M018_generated.sql,backend_database,300,0,clean,
backend/src/database/migrations/3000_M019_generated.sql,backend_database,300,0,clean,
backend/src/database/migrations/3000_M020_generated.sql,backend_database,300,0,clean,
backend/src/database/migrations/3000_M021_generated.sql,backend_database,298,0,clean,
backend/src/database/migrations/3000_M022_generated.sql,backend_database,298,0,clean,
backend/src/database/migrations/3000_M023_generated.sql,backend_database,298,0,clean,
backend/src/database/migrations/3000_M024_generated.sql,backend_database,298,0,clean,
backend/src/database/migrations/3000_M025_generated.sql,backend_database,298,0,clean,
backend/src/database/migrations/3000_M026_generated.sql,backend_database,298,0,clean,
backend/src/database/migrations/3000_M027_generated.sql,backend_database,298,0,clean,
backend/src/database/migrations/3000_M028_generated.sql,backend_database,298,0,clean,
backend/src/database/migrations/3000_M029_generated.sql,backend_database,298,0,clean,
backend/src/database/migrations/3000_M030_generated.sql,backend_database,298,0,clean,
backend/src/database/migrations/3000_M031_generated.sql,backend_database,302,0,clean,
backend/src/database/migrations/3000_M032_generated.sql,backend_database,302,0,clean,
backend/src/database/migrations/3000_M033_generated.sql,backend_database,302,0,clean,
backend/src/database/migrations/3000_M034_generated.sql,backend_database,296,0,clean,
backend/src/database/migrations/3000_M035_generated.sql,backend_database,296,0,clean,
backend/src/database/migrations/3000_M036_generated.sql,backend_database,302,0,clean,
backend/src/database/migrations/3000_M037_generated.sql,backend_database,296,0,clean,
backend/src/database/migrations/3000_M038_generated.sql,backend_database,296,0,clean,
backend/src/database/migrations/3000_M039_generated.sql,backend_database,296,0,clean,
backend/src/database/migrations/3000_M040_generated.sql,backend_database,302,0,clean,
backend/src/database/migrations/3000_M041_generated.sql,backend_database,301,0,clean,
backend/src/database/migrations/3000_M042_generated.sql,backend_database,309,0,clean,
backend/src/database/migrations/3000_M043_generated.sql,backend_database,309,0,clean,
backend/src/database/migrations/3000_M044_generated.sql,backend_database,309,0,clean,
backend/src/database/migrations/3000_M045_generated.sql,backend_database,309,0,clean,
backend/src/database/migrations/3000_M046_generated.sql,backend_database,301,0,clean,
backend/src/database/migrations/3000_M047_generated.sql,backend_database,309,0,clean,
backend/src/database/migrations/3000_M048_generated.sql,backend_database,309,0,clean,
backend/src/database/migrations/3000_M049_generated.sql,backend_database,301,0,clean,
