"Family","File","Name","Mounted","EndpointCount","SignatureHash","Signature"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOrderDomainRoutes.js","bulkOrderDomainRoutes.js","True","6","39542b6e4a4186c4ea659133940277789b634b0aae6691bea46ab63c676c4d84","GET /bulk-order/:orderId | GET /bulk-order/:orderId/quotations | GET /bulk-orders | POST /bulk-order | POST /bulk-order/:orderId/cancel | POST /bulk-order/quotation/:quotationId/accept"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOrderRoutes.js","bulkOrderRoutes.js","True","9","b4cc86d96b734a7dc866013ce791fd1baf3151fb068cf65c44c1185a2b8709eb","GET /:orderId | GET /:orderId/quotations | GET /analytics | GET /user/:userId | PATCH /:orderId/status | POST / | POST /:orderId/cancel | POST /:orderId/quotations | POST /quotations/:quotationId/accept"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOrders.js","bulkOrders.js","True","1","74fac65f350e55c6eab7fce463c1dac2c69e32dbf56cdc0635ef7a8cd2da51b8","GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\buyerTrust.js","buyerTrust.js","True","4","fde8ca084f6b49688c8229e5cb3bfede643a8511eeddfde0f94fd808112691ca","GET /buyers/:id/payment-history | GET /buyers/:id/reputation | GET /buyers/:id/trust | POST /buyers/:id/fraud-report"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cacheRoutes.js","cacheRoutes.js","False","2","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e","GET / | GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\certificationManagement.js","certificationManagement.js","True","1","74fac65f350e55c6eab7fce463c1dac2c69e32dbf56cdc0635ef7a8cd2da51b8","GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\civilDisruptionDomainRoutes.js","civilDisruptionDomainRoutes.js","True","5","74437dd386a3f186f4fbba67b87dba08e405bb1dcc9d92d9a4c9c082487e375d","GET /civil-disruption/active | GET /civil-disruption/shipment/:shipmentId/risk | POST /civil-disruption/:id/resolve | POST /civil-disruption/:id/verify | POST /civil-disruption/report"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\civilDisruptionRoutes.js","civilDisruptionRoutes.js","True","5","1f83b46a10ce825e49c7d9d207222f10e9240ad63d1a6803f1916681fae2e369","GET /active | GET /shipments/:shipmentId/risk | POST / | POST /:id/resolve | POST /:id/verify"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisory.js","climateAdvisory.js","True","1","74fac65f350e55c6eab7fce463c1dac2c69e32dbf56cdc0635ef7a8cd2da51b8","GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisoryRoutes.js","climateAdvisoryRoutes.js","True","2","071dc48377e89326f050eaee5f26506188f379cd5f375f03eb991f0bd41482d1","GET /health | POST /"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateMonitoringDomainRoutes.js","climateMonitoringDomainRoutes.js","True","0","",""
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateMonitoringRoutes.js","climateMonitoringRoutes.js","True","2","071dc48377e89326f050eaee5f26506188f379cd5f375f03eb991f0bd41482d1","GET /health | POST /"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateRouteSupport.js","climateRouteSupport.js","True","0","",""
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cloudManagementRoutes.js","cloudManagementRoutes.js","False","22","ff3dddf97a3b8b4f4930388de7952fec52e1ebe1e09560bba404c4d3f60eee51","DELETE /resources/:resourceId | GET /costs | GET /deployments | GET /deployments/:deploymentId | GET /monitoring | GET /overview | GET /providers | GET /providers/:providerId | GET /resources | GET /resources/:resourceId | GET /resources/provider/:providerId | GET /security | GET /service-health | POST /costs/optimize | POST /deployments | POST /deployments/:deploymentId/scale | POST /disaster-recovery | POST /providers/:providerId/disable | POST /providers/:providerId/enable | POST /provision | POST /security/policies/:policyId/apply | PUT /resources/:resourceId"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\coldChainMonitoring.js","coldChainMonitoring.js","True","1","74fac65f350e55c6eab7fce463c1dac2c69e32dbf56cdc0635ef7a8cd2da51b8","GET /health"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\coldStorageDomainRoutes.js","coldStorageDomainRoutes.js","True","12","3e0acb5b3aee9345735932dd5dedcd48b2589079ba488381b2d10c1141a23b16","GET /cold-storage/bookings | GET /cold-storage/compliance-status/:facilityId | GET /cold-storage/facilities | GET /cold-storage/facility/:facilityId | GET /cold-storage/status | GET /cold-storage/temperature/:facilityId | GET /cold-storage/utilization | POST /cold-storage/booking | POST /cold-storage/facility | POST /cold-storage/facility/:facilityId/book | PUT /cold-storage/booking/:bookingId/status | PUT /cold-storage/facility/:facilityId"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\coldStorageRoutes.js","coldStorageRoutes.js","True","2","071dc48377e89326f050eaee5f26506188f379cd5f375f03eb991f0bd41482d1","GET /health | POST /"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\communityManagementDomainRoutes.js","communityManagementDomainRoutes.js","True","0","",""
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\communityManagementRoutes.js","communityManagementRoutes.js","True","2","071dc48377e89326f050eaee5f26506188f379cd5f375f03eb991f0bd41482d1","GET /health | POST /"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\communityRoutes.js","communityRoutes.js","False","26","416d5e28c7726700d323ce085212540073e27ac9a1c0869aa58ab688612e0956","GET /activity-feed | GET /analytics | GET /categories | GET /events | GET /groups | GET /health | GET /members | GET /members/:memberId | GET /moderation | GET /threads | GET /threads/:threadId | GET /threads/:threadId/posts | POST /ai-insights | POST /categories | POST /events | POST /events/:eventId/register | POST /groups | POST /groups/:groupId/join | POST /like | POST /members | POST /members/:memberId/badges | POST /moderation | POST /posts | POST /threads | PUT /members/:memberId | PUT /moderation/:queueId"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\companyDomainRoutes.js","companyDomainRoutes.js","True","4","277274dacaabea184beef48f528ccbf0e7da06305c0693b88f4b63ff91af0388","GET /companies | GET /company/:id | GET /company/:id/chart-of-accounts | GET /company/:id/fiscal-years"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\companyRoutes.js","companyRoutes.js","True","4","1758bd55a945eddd3a5e76ebfd366e922d2b75f99e64113e703fa32820426644","GET / | GET /:id | GET /:id/chart-of-accounts | GET /:id/fiscal-years"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\completeAIIntegrationDomainRoutes.js","completeAIIntegrationDomainRoutes.js","True","12","2fccc6f684d1b8e91ca3fcabe37a660db5f953f92ec3d49e261d122f89612a03","POST /complete-ai-integration/detect-crop-disease/:cropId | POST /complete-ai-integration/monitor-livestock-health/:livestockId | POST /complete-ai-integration/monitor-poultry-health/:poultryId | POST /complete-ai-integration/optimize-dairy-production/:dairyId | POST /complete-ai-integration/optimize-farmer-resources/:farmerId | POST /complete-ai-integration/optimize-goat-production/:goatId | POST /complete-ai-integration/optimize-pig-production/:pigId | POST /complete-ai-integration/optimize-sheep-production/:sheepId | POST /complete-ai-integration/predict-crop-yield/:cropId | POST /complete-ai-integration/predict-harvest-timing/:farmerId | POST /complete-ai-integration/recommend-crop-planning/:farmerId | POST /complete-ai-integration/recommend-livestock-breeding/:livestockId"
