"QualifiedTable","DefinitionCount","SourceFile","SourceRelativePath"
"public.procurement_tenders","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\030_institutional_procurement_schema.sql","backend\src\database\migrations\030_institutional_procurement_schema.sql"
"public.demand_forecasts","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\institutional_procurement_schema.sql","backend\src\database\institutional_procurement_schema.sql"
"public.demand_forecasts","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\015_advanced_features.sql","backend\src\database\migrations\015_advanced_features.sql"
"public.demand_forecasts","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\030_institutional_procurement_schema.sql","backend\src\database\migrations\030_institutional_procurement_schema.sql"
"public.demand_forecasts","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\052_economic_layer.sql","backend\src\database\migrations\052_economic_layer.sql"
"public.demand_forecasts","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\3102_ecommerce_ai_erp_business_marketing.sql","backend\src\database\migrations\3102_ecommerce_ai_erp_business_marketing.sql"
"public.demand_forecasts","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M055\model.sql","backend\src\modules\M055\model.sql"
"public.menu_plans","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\institutional_procurement_schema.sql","backend\src\database\institutional_procurement_schema.sql"
"public.menu_plans","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\030_institutional_procurement_schema.sql","backend\src\database\migrations\030_institutional_procurement_schema.sql"
"public.nutrition_compliance","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\institutional_procurement_schema.sql","backend\src\database\institutional_procurement_schema.sql"
"public.nutrition_compliance","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\030_institutional_procurement_schema.sql","backend\src\database\migrations\030_institutional_procurement_schema.sql"
"public.supply_contracts","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\institutional_procurement_schema.sql","backend\src\database\institutional_procurement_schema.sql"
"public.supply_contracts","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\030_institutional_procurement_schema.sql","backend\src\database\migrations\030_institutional_procurement_schema.sql"
"public.quality_inspections","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\institutional_procurement_schema.sql","backend\src\database\institutional_procurement_schema.sql"
"public.quality_inspections","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\030_institutional_procurement_schema.sql","backend\src\database\migrations\030_institutional_procurement_schema.sql"
"public.settlement_records","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\institutional_procurement_schema.sql","backend\src\database\institutional_procurement_schema.sql"
"public.settlement_records","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\030_institutional_procurement_schema.sql","backend\src\database\migrations\030_institutional_procurement_schema.sql"
"public.iot_devices","4","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\iot_integration_schema.sql","backend\src\database\iot_integration_schema.sql"
"public.iot_devices","4","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\015_advanced_features.sql","backend\src\database\migrations\015_advanced_features.sql"
"public.iot_devices","4","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\031_iot_integration_schema.sql","backend\src\database\migrations\031_iot_integration_schema.sql"
"public.iot_devices","4","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\3030_m030_farmer_advisory.sql","backend\src\database\migrations\3030_m030_farmer_advisory.sql"
"public.sensor_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\iot_integration_schema.sql","backend\src\database\iot_integration_schema.sql"
"public.sensor_data","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\031_iot_integration_schema.sql","backend\src\database\migrations\031_iot_integration_schema.sql"
"public.device_commands","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\iot_integration_schema.sql","backend\src\database\iot_integration_schema.sql"
"public.device_commands","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\031_iot_integration_schema.sql","backend\src\database\migrations\031_iot_integration_schema.sql"
"public.device_alerts","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\iot_integration_schema.sql","backend\src\database\iot_integration_schema.sql"
"public.device_alerts","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\031_iot_integration_schema.sql","backend\src\database\migrations\031_iot_integration_schema.sql"
"public.device_groups","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\iot_integration_schema.sql","backend\src\database\iot_integration_schema.sql"
"public.device_groups","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\031_iot_integration_schema.sql","backend\src\database\migrations\031_iot_integration_schema.sql"
"public.device_group_members","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\iot_integration_schema.sql","backend\src\database\iot_integration_schema.sql"
"public.device_group_members","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\031_iot_integration_schema.sql","backend\src\database\migrations\031_iot_integration_schema.sql"
"public.iot_analytics","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\iot_integration_schema.sql","backend\src\database\iot_integration_schema.sql"
"public.iot_analytics","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\031_iot_integration_schema.sql","backend\src\database\migrations\031_iot_integration_schema.sql"
"public.knowledge_nodes","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\knowledge_graph_schema.sql","backend\src\database\knowledge_graph_schema.sql"
"public.knowledge_nodes","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\032_knowledge_graph_schema.sql","backend\src\database\migrations\032_knowledge_graph_schema.sql"
"public.knowledge_relationships","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\knowledge_graph_schema.sql","backend\src\database\knowledge_graph_schema.sql"
"public.knowledge_relationships","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\032_knowledge_graph_schema.sql","backend\src\database\migrations\032_knowledge_graph_schema.sql"
